"Banco de México"

"Balanza de pagos"
""

"Fecha de consulta: 15/10/2013 03:21:00"

""

"Título","Remesas Familiares, Total","Remesas Familiares, Money Orders","Remesas Familiares, Cheques Personales","Remesas Familiares, Transferencias Electrónicas","Remesas Familiares, Efectivo y Especie","Remesas Familiares, Total","Remesas Familiares, Money Orders","Remesas Familiares, Cheques Personales","Remesas Familiares, Transferencias Electrónicas","Remesas Familiares, Efectivo y Especie"
"Periodo disponible","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013"
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual"
"Cifra","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos"
"Unidad","Millones de Dólares","Millones de Dólares","Millones de Dólares","Millones de Dólares","Millones de Dólares","Miles de Operaciones","Miles de Operaciones","Miles de Operaciones","Miles de Operaciones","Miles de Operaciones"
"Base","","","","","","","","","",""
"Aviso","","","","","","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SE27803","SE27804","SE27805","SE27806","SE27807","SE27808","SE27809","SE27810","SE27811","SE27812"
01/10/2006,2316.5244,120.2124,0.0000,2167.1560,29.1560,6757.4387,219.1287,0.0000,6482.5720,55.7380
01/11/2006,1962.8020,98.9566,0.0000,1835.5853,28.2601,5726.0630,185.3890,0.0000,5479.2200,61.4540
01/12/2006,1938.7249,104.2802,0.0000,1776.3068,58.1380,5910.4470,188.9620,0.0000,5601.5500,119.9350
01/01/2007,1872.9292,102.7903,0.0000,1733.3217,36.8172,5573.1220,187.7760,0.0000,5322.4740,62.8720
01/02/2007,1856.7782,81.2659,0.0000,1751.3013,24.2110,5450.3520,143.0610,0.0000,5260.6710,46.6200
01/03/2007,2186.5239,82.4136,0.0000,2073.6296,30.4807,6244.9760,146.8850,0.0000,6037.5310,60.5600
01/04/2007,2166.5640,75.3586,0.0000,2059.1296,32.0758,6232.2510,129.4970,0.0000,6043.7720,58.9820
01/05/2007,2411.7694,85.0179,0.0000,2298.8691,27.8824,7160.9810,175.5440,0.0000,6919.7030,65.7340
01/06/2007,2300.5755,75.5279,0.0000,2193.1998,31.8478,6597.3200,134.9060,0.0000,6393.2670,69.1470
01/07/2007,2369.4892,73.9407,0.0000,2256.4800,39.0686,6695.0490,133.4890,0.0000,6481.0680,80.4920
01/08/2007,2412.1251,63.2027,0.0000,2318.1814,30.7410,6690.3260,120.4530,0.0000,6508.8060,61.0670
01/09/2007,2186.1334,46.3387,0.0000,2113.4044,26.3902,6214.2620,86.0850,0.0000,6073.6060,54.5710
01/10/2007,2367.6428,55.2256,0.0000,2279.8811,32.5361,6943.9800,107.6230,0.0000,6777.8840,58.4730
01/11/2007,1958.5217,50.9888,0.0000,1877.2437,30.2893,5745.1200,90.0510,0.0000,5600.0960,54.9730
01/12/2007,1969.7657,67.5997,0.0000,1848.0167,54.1493,6103.7300,130.4990,0.0000,5859.7810,113.4500
01/01/2008,1781.6996,72.4261,0.0000,1665.5578,43.7157,5286.9710,155.2010,0.0000,5068.1340,63.6360
01/02/2008,1859.7116,47.1976,0.0000,1787.7777,24.7363,5454.3770,100.9920,0.0000,5305.7930,47.5920
01/03/2008,2116.3465,45.8427,0.0000,2039.5211,30.9826,6116.2570,99.1940,0.0000,5953.7300,63.3330
01/04/2008,2184.6854,47.2757,0.0000,2108.4976,28.9121,6166.3148,98.4670,0.0000,6017.0678,50.7800
01/05/2008,2371.6245,52.0587,0.0000,2286.4120,33.1538,7089.6651,164.1080,0.0000,6866.3761,59.1810
01/06/2008,2264.5868,51.3002,0.0000,2173.7047,39.5820,6468.5600,107.1140,0.0000,6287.5500,73.8960
01/07/2008,2183.1569,55.4198,0.0000,2081.3993,46.3379,6173.8570,115.3660,0.0000,5978.0510,80.4400
