"OBJECTID","TIPO","NOMBRE","SHAPE_Length","INICIOX","INICIOY","FINALX","FINALY","CENTROIDEX","CENTROIDEY"
3991,"","GALAXIA",87.576520,665601.614338,2287952.941465,665683.441666,2287921.733529,665642.528002,2287937.337497
3992,"","CAPRICORNIO",65.587781,665668.928130,2287735.212696,665645.947138,2287673.782808,665657.437634,2287704.497752
3993,"","PASEO DEL ROCIO",188.532182,665580.937602,2287893.160729,665756.403458,2287824.196120,665668.670530,2287858.678424
3994,"","GEMINIS",130.519956,665645.947138,2287673.782808,665768.457858,2287631.832984,665706.718054,2287649.997090
3995,"","ARCO IRIS PASEO DEL",58.695102,665607.730946,2288242.122905,665664.036866,2288225.818649,665636.125955,2288234.888370
3996,"","PINOS DE LOS",19.136066,665874.388866,2287322.763928,665870.266882,2287304.077080,665872.327874,2287313.420504
3997,"","PISCIS",30.874407,665784.840578,2287359.148184,665786.666754,2287328.327832,665785.753666,2287343.738008
3998,"","PISCIS",47.358553,665782.039554,2287406.423832,665784.840578,2287359.148184,665783.440066,2287382.786008
3999,"","PISCIS",71.428466,665777.814914,2287477.727256,665782.039554,2287406.423832,665779.927234,2287442.075544
4000,"","PISCIS",74.126184,665773.430658,2287551.723672,665777.814914,2287477.727256,665775.622786,2287514.725464
4001,"","TAURO",94.040907,665777.814914,2287477.727256,665853.056642,2287447.832600,665822.710967,2287465.989656
4002,"","ESCORPION",64.986700,665692.854274,2287510.736664,665669.860098,2287449.953944,665681.357186,2287480.345304
4003,"","DON BOSCO",11.319260,666007.371778,2287059.791512,666005.145218,2287048.693400,666006.258498,2287054.242456
4004,"","DON BOSCO",10.496137,666009.436418,2287070.082584,666007.371778,2287059.791512,666008.404098,2287064.937048
4005,"","INGLATERRA",58.963120,665787.247746,2287318.522136,665732.085634,2287339.349784,665759.666690,2287328.935960
4006,"","INGLATERRA",76.661155,665660.395778,2287366.505112,665732.085634,2287339.349784,665696.226010,2287352.889378
4007,"","VALLARTA",38.518189,665711.118210,2287113.335704,665748.816130,2287105.428888,665729.967170,2287109.382296
4008,"","VALLARTA",13.078260,665698.318466,2287116.020376,665711.118210,2287113.335704,665704.718338,2287114.678040
4009,"","VALLARTA",67.276393,665710.512258,2287134.000792,665776.200706,2287119.470104,665743.356482,2287126.735448
4010,"","VALLARTA",57.435988,665708.853378,2287126.370072,665764.949762,2287114.037656,665736.901570,2287120.203864
4011,"","VALLARTA",248.421035,666007.371778,2287059.791512,665764.949762,2287114.037656,665886.263299,2287087.367855
4012,"","VALLARTA",74.439643,665705.476610,2287147.047448,665778.250754,2287131.389080,665741.863682,2287139.218264
4013,"","VALLARTA",72.012655,665848.647938,2287116.221464,665778.250754,2287131.389080,665813.451460,2287123.815051
4014,"","INGLATERRA",12.552646,665874.388866,2287322.763928,665863.473410,2287328.962456,665868.931138,2287325.863192
4015,"","INGLATERRA",84.011446,665784.840578,2287359.148184,665863.170946,2287328.959896,665823.694672,2287343.315649
4016,"","ESCORPION",81.107658,665669.860098,2287449.953944,665641.161986,2287374.093080,665655.511042,2287412.023512
4017,"","ACUARIO",162.180142,665622.193410,2287610.287256,665773.430658,2287551.723672,665697.812034,2287581.005464
4018,"","LIBRA",75.022008,665316.109185,2287658.155928,665325.218305,2287583.688984,665320.663745,2287620.922456
4019,"","PISCIS",80.263573,665773.430658,2287551.723672,665768.457858,2287631.832984,665770.967788,2287591.779763
4020,"","SAGITARIO",66.822830,665490.379137,2287661.920152,665465.825665,2287599.771800,665478.102401,2287630.845976
4021,"","ABETOS",182.480651,665987.568642,2287632.469016,665989.846658,2287450.002584,665988.707650,2287541.235800
4022,"","CAPRICORNIO",67.793249,665645.947138,2287673.782808,665622.193410,2287610.287256,665634.070274,2287642.035032
4023,"","ACUARIO",141.566478,665490.379137,2287661.920152,665622.193410,2287610.287256,665556.250096,2287636.011007
4024,"","TAURO",160.698963,665316.109185,2287658.155928,665465.825665,2287599.771800,665391.050620,2287629.178123
4025,"","PINOS DE LOS",309.852434,665874.388866,2287322.763928,665900.351362,2287628.925592,665906.686541,2287474.200022
4026,"","SHAKESPEARE WILLIAM",112.388232,664925.310465,2288320.296985,665036.236673,2288338.292633,664980.733936,2288329.504863
4027,"","HEMINGWAY ERNEST",69.803743,664859.504257,2288307.281689,664854.583425,2288237.651609,664857.043841,2288272.466649
4028,"","HEMINGWAY ERNEST",69.997475,664849.725697,2288167.823385,664854.583425,2288237.651609,664852.116126,2288202.739948
4029,"","PASEO LOMAS ALTAS",119.993898,665165.717249,2288244.659865,665053.381121,2288202.508697,665109.328362,2288224.167735
4030,"","TWAIN MARK",34.232799,664887.356929,2287847.999256,664921.466625,2287845.252632,664904.418855,2287846.783863
4031,"","KIPLING RUDYARD PROLONGACION",46.007995,664881.809409,2287755.126296,664879.066241,2287709.200152,664880.437825,2287732.163224
4032,"","KIPLING RUDYARD PROLONGACION",45.908628,664884.546817,2287800.953240,664881.809409,2287755.126296,664883.178113,2287778.039768
4033,"","KIPLING RUDYARD PROLONGACION",47.129866,664887.356929,2287847.999256,664884.546817,2287800.953240,664885.951873,2287824.476248
4034,"","KIPLING RUDYARD PROLONGACION",47.786907,664890.206209,2287895.701145,664887.356929,2287847.999256,664888.781569,2287871.850200
4035,"","KIPLING RUDYARD PROLONGACION",134.876771,664898.248321,2288030.337945,664890.206209,2287895.701145,664894.227265,2287963.019545
4036,"","DOYLE CONAN",29.171633,664919.321729,2287893.892633,664890.206209,2287895.701145,664904.763969,2287894.796889
4037,"","MANDINO OG",40.250011,664924.701697,2287798.187544,664884.546817,2287800.953240,664904.624257,2287799.570392
4038,"","VERNE JULIO",45.878617,664927.511681,2287751.107608,664881.809409,2287755.126296,664904.660545,2287753.116952
4039,"","WELLS ORSON",51.778286,664930.746625,2287706.017560,664879.066241,2287709.200152,664904.906433,2287707.608856
4040,"","KIPLING RUDYARD PROLONGACION",46.025952,664879.066241,2287709.200152,664876.321921,2287663.256088,664877.694081,2287686.228120
4041,"","KIPLING RUDYARD",67.795286,664965.481729,2288023.392537,664898.248321,2288030.337945,664931.697519,2288026.163341
4042,"","DOSTOYEVSKY FEDOR",75.325374,665133.431937,2287993.489177,665167.941633,2287944.332569,665167.928388,2287978.387224
4043,"","DOSTOYEVSKY FEDOR",223.824245,665053.381121,2288202.508697,665133.431937,2287993.489177,665093.406529,2288097.998937
4044,"","PASEO LOMAS ALTAS",207.981783,664849.725697,2288167.823385,665053.381121,2288202.508697,664952.015473,2288184.580616
4045,"","SHAKESPEARE WILLIAM",67.088700,664925.310465,2288320.296985,664859.504257,2288307.281689,664892.473120,2288313.458731
4046,"","TOLSTOI LEON",26.862414,664540.866433,2288302.378521,664566.765185,2288309.509017,664553.815809,2288305.943769
4047,"","BARING MAURICE",71.494559,664638.272513,2288236.010905,664627.789185,2288165.289113,664633.030849,2288200.650009
4048,"","BARING MAURICE",69.124396,664610.557057,2288022.191513,664605.279361,2287953.268889,664607.918209,2287987.730201
4049,"","BARING MAURICE",72.505601,664610.557057,2288022.191513,664617.268609,2288094.352409,664613.324978,2288058.338493
4050,"","HEMINGWAY ERNEST",69.200688,664841.730049,2288028.259993,664845.716225,2288097.345561,664843.751039,2288062.801069
4051,"","DOSTOYEVSKY FEDOR",246.876833,664845.716225,2288097.345561,664610.557057,2288022.191513,664728.123755,2288059.809515
4052,"","TWAIN MARK",89.473830,664830.903681,2287862.921880,664747.898881,2287896.325017,664789.401281,2287879.623448
4053,"","KIPLING RUDYARD",91.100305,664757.551361,2288001.376665,664670.683265,2287973.932185,664714.117313,2287987.654425
4054,"","BALZAC HONORATO DE",40.606312,664661.894529,2287834.180376,664659.801217,2287793.628056,664660.847873,2287813.904216
4055,"","BALZAC HONORATO DE",26.425027,664663.256833,2287860.570264,664661.894529,2287834.180376,664662.575681,2287847.375320
4056,"","BALZAC HONORATO DE",11.207607,664663.834625,2287871.762968,664663.256833,2287860.570264,664663.545729,2287866.166616
4057,"","BALZAC HONORATO DE",57.279375,664666.787713,2287928.966169,664663.834625,2287871.762968,664665.311169,2287900.364569
4058,"","BALZAC HONORATO DE",45.140033,664666.787713,2287928.966169,664670.683265,2287973.932185,664668.575444,2287951.460808
4059,"","GARZA ROMULO",42.364998,664741.166081,2287761.135128,664780.509825,2287745.423256,664760.837953,2287753.279192
4060,"","INGLATERRA",119.414796,664657.920769,2287757.202328,664767.070593,2287708.819864,664712.941535,2287734.014214
4061,"","INGLATERRA",76.575934,664576.587777,2287746.706584,664648.237825,2287719.685400,664612.412801,2287733.195992
4062,"","INGLATERRA",75.453586,664719.680257,2287693.051672,664790.627457,2287667.366296,664755.153857,2287680.208984
4063,"","PATRIA",49.496547,664559.960705,2288269.084953,664551.538049,2288220.310297,664555.749377,2288244.697625
4064,"","PATRIA",40.993801,664559.960705,2288269.084953,664566.765185,2288309.509017,664563.448609,2288289.282910
4065,"","PATRIA",20.348933,664540.866433,2288302.378521,664537.131137,2288282.377113,664539.046570,2288292.369654
4066,"","LOZANO MIGUEL",230.628414,664773.229953,2287822.090136,664773.229953,2287822.090136,664830.935118,2287755.358249
4067,"","LOZANO MIGUEL",87.019573,664692.360193,2287854.222488,664773.229953,2287822.090136,664732.795073,2287838.156312
4068,"","LOZANO MIGUEL",35.276296,664663.834625,2287871.762968,664692.360193,2287854.222488,664679.867883,2287864.411853
4069,"","LOZANO MIGUEL",32.052609,664663.256833,2287860.570264,664692.360193,2287854.222488,664678.185985,2287854.742499
4070,"","PATRIA",35.729931,664559.960705,2288269.084953,664537.131137,2288282.377113,664553.344268,2288285.565718
