Mercados y Plazas Comerciales,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Nombre,Ubicación,Tipo,Descripción Tipo,Clase,Descripción Clase
217,Lomas de Guadalupe,5A,Inexistente,,99,NINGUNO,99,NINGUNO
218,Lomas de la Primavera,7,Inexistente,,99,NINGUNO,99,NINGUNO
220,Lomas de Tabachines ,2A,-Inexistente-,,99,NINGUNO,99,NINGUNO
221,Lomas de Zapopan,3,Mercado Plaza Abasto Las Lomas,"Av. de la Mancha Nº 579, Administrador Juan González Carillo y/o Roberto Flores Arellano",1,Mercado,2,Privado
222,Lomas del Batán,1B,Plaza Zoquipan,Zoquipan e Insurgentes,3,Plaza Comercial,2,Privado
222,Lomas del Batán,1B,Plaza Colinas,Av. Atemajac y Manzano Briseño,3,Plaza Comercial,2,Privado
224,Lomas del Camino,1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
225,Lomas del Centinela,2A,-Inexistente-,,99,NINGUNO,99,NINGUNO
226,Lomas del Colli ,5A,- Inexistente -,,99,NINGUNO,99,NINGUNO
228,Lomas del Refugio,2B,,,,Desconocido,,Desconocido
228,Lomas del Refugio,2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
229,Lomas del Seminario Norte,5A,Beethoven,Av. Beethoven y Doctores,3,Plaza Comercial,2,Privado
232,Lomas Universidad,5A,Plaza El Pueblito,Castellanos Rosario Nº 6042,3,Plaza Comercial,2,Privado
233,"Maestros, Los",1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
234,"Magdalena, La",RS,- Inexistente -,,99,NINGUNO,99,NINGUNO
236,Marcelino García Barragán,3,- Inexistente -,,99,NINGUNO,99,NINGUNO
237,Mariano Otero,7,Solidaridad,Sienita Nº 2365,1,Mercado,1,Público
238,"Martinica, La",2A,Sin nombre,Pípila y León de la Torre,3,Plaza Comercial,2,Privado
239,Mesa Colorada ,RN,-Inexistente-,,99,NINGUNO,99,NINGUNO
240,Mesa Colorada Poniente,2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
241,Mesa de los Ocotes,2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
