Bibliotecas,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Biblioteca,Domicilio,Teléfono
302,Rancho Contento,RS,Biblioteca Rancho Contento,Amapolas No. 250-B,"36821026, horario de 9 a 17 hrs."
303,Rancho El Centinela,3,-Inexistente-,,
304,Rancho el Sol (ó Placita del Sol),3,-Inexistente-,,
305,Real Acueducto,1A,-Inexistente-,,
306,Real Alamedas,6,-Inexistente-,,
307,Real San Bernardo,5B,-Inexistente-,,
308,Real Vallarta,5A,-Inexistente-,,
309,"Rehilete, El",7,-Inexistente-,,
310,Residencial Arboledas,6,-Inexistente-,,
311,Residencial Ciudad de los Niños,5A,-Inexistente-,,
312,Residencial Cordilleras,5A,-Inexistente-,,
313,Residencial Colomos Patria,5B,-Inexistente-,,
315,Residencial Guadalupe,5A,-Inexistente-,,
317,Residencial Loma Blanca,1A,-Inexistente-,,
318,Residencial Moctezuma,6,-Inexistente-,,
319,Residencial Moctezuma Poniente,6,-Inexistente-,,
321,Residencial Patria,1B,-Inexistente-,,
322,Residencial Plaza Guadalupe,5A,-Inexistente-,,
323,Residencial Poniente,4,-Inexistente-,,
324,Residencial Victoria,6,-Inexistente-,,
325,Rinconada del Auditorio,2A,-Inexistente-,,
326,Rinconada de la Seattle,1B,-Inexistente-,,
327,Rinconada Del Iris,8,-Inexistente-,,
328,Rinconada del Oro,6,-Inexistente-,,
329,Rinconada del Sol,6,-Inexistente-,,
330,Rinconada La Azalea,1B,-Inexistente-,,
331,Rinconada del Valle,5A,-Inexistente-,,
332,Rinconada de la Calma,6,-Inexistente-,,
333,Rinconada de la Joya,6,-Inexistente-,,
334,Rinconada las Palmas,3,-Inexistente-,,
335,Rinconada de Santa Rita,5B,-Inexistente-,,
336,Rinconada de los Novelistas,5A,"Biblioteca Pública Municipal No. 2255 ""Novelistas""",Mabuse Nº 490 (Horario de Lun a vier de 9:00 a 20:00 hrs.),3673 8917
337,Río Blanco,RN,-Inexistente-,,
338,Roberto Orozco,RS,-Inexistente-,,
339,"Robles, Los",3,-Inexistente-,,
340,"Rodeo, El",RS,-Inexistente-,,
341,Royal Country,5B,-Inexistente-,,
342,San Bernardo,5B,-Inexistente-,,
343,San Esteban,RN,-Inexistente-,,
344,San Francisco,1A,-Inexistente-,,
345,San Isidro Ejidal,1A,-Inexistente-,,
346,San Isidro Poblado,RN,-Inexistente-,,
347,San José del Bajio,1A,-Inexistente-,,
348,San José Ejidal,RS,-Inexistente-,,
349,San Juan de Ocotán,4,"Biblioteca Pública Municipal No. 6891 ""Lic. Francisco Medina Ascencio""",Independencia Nº 214 (Horario de lunes a Viernes de 9:00 a 20:00 hrs.), 3110 1279
350,San Lorenzo,RN,-Inexistente-,,
351,San Miguel de la Cañada,1B,-Inexistente-,,
352,San Miguel de La Colina,1A,-Inexistente-,,
353,San Miguel Tateposco,RN,Se encuentra en escuela Primaria Oblatos,Maestros No. 37,3625 4313
354,San Nicolás de los Belenes,2A,-Inexistente-,,
355,San Wenceslao,5B,-Inexistente-,,
356,Santa Ana Tepetitlán,8,"Biblioteca Pública Municipal No. 6892 ""Santa Ana Tepetitlán""",Guadalupe Victoria Nº 3625 (Horario de Lun - Vier de 9:00 a 20:00 hrs.),3684 3821
357,Santa Catalina,6,-Inexistente-,,
358,Santa Fé,1A,-Inexistente-,,
359,Santa Isabel,5B,-Inexistente-,,
360,Santa Lucía,RS,-Inexistente-,,
361,Santa Margarita 1ra. Sección,1A,-Inexistente-,,
362,Santa Margarita 2da Sección,4,-Inexistente-,,
363,Santa Margarita Residencial,4,-Inexistente-,,
364,Santa Maria del Pueblito,5A,-Inexistente-,,
365,Santa Mónica de los Chorritos,RS,-Inexistente-,,
366,Santa Paula,1B,-Inexistente-,,
367,Seattle,1B,-Inexistente-,,
368,Seattle  Habitacional ,1B,-Inexistente-,,
369,"Soledad de Nextipac, La",RS,-Inexistente-,,
370,Tabachines,2A,"Biblioteca Pública Municipal no. 6893 ""Tabachines""",Araucaria Nº 3145-A (Horario de Lun a Vier de 9:00 a 20:00 hrs),3366 1430
371,Tepeyac,1B,-Inexistente-,,
372,Tepeyac Casino,5A,-Inexistente-,,
373,Tesistán,RS,"Biblioteca Pública Municipal No. 1423 ""Manuel López Cotilla""",5 de Mayo Nº 19 (horario de Lun a Vier de 9:00 a 20:00 hrs),3897 1360
374,"Tigre I, El",3,- Inexistente -,,
375,"Tigre II, El",3,-Inexistente-,,
376,"Triángulo, El",4,-Inexistente-,,
377,"Tuzanía , La",4,"Biblioteca Pública Municipal No. 6884 ""La Tuzanía""",Cerezos Nº 1100 (horario de Lun a Vier de 8:00 a 20:00 hrs) ,3836 9233
378,Tuzanía Ejidal,4,-Inexistente-,,
379,Unidad Auditorio,2A,-Inexistente-,,
380,Unidad Cadete Francisco Marquez,6,-Inexistente-,,
381,Unidad Gustavo Díaz Ordaz,6,-Inexistente-,,
382,Unidad Fovissste (Estatuto Jurídico).,1A,"Biblioteca Pública Municipal No. 6890 ""Lic. Carlos Rivera Aceves""",Planta alta del Modulo Social  Local 7 y 8. Horario Lun-Vier de 8:00 a 20:00,38 33 42 66
383,Unidad México,5B,-Inexistente-,,
384,Unidad Patria,1B,-Inexistente-,,
385,Unidad República,1A,"No. 1138 ""Fray Luis del Refugio de Palacio y Basave""",V. Guerrero 233. Instituto de Cultura. De Lun a Vier de 8:00 a 20:00 hrs.,38 18 22 00 Ext. 3831
386,Vallarta La Patria,5A,-Inexistente-,,
387,Vallarta Universidad,5B,-Inexistente-,,
388,Valle de Atemajac,2A,-Inexistente-,,
389,Valle de Bugambilias,8,-Inexistente-,,
391,Valle de San Nicolás,7,-Inexistente-,,
392,Valle Escondido,4,-Inexistente-,,
393,Valle Real,4,-Inexistente-,,
394,Venta del Astillero,RS,"Biblioteca Pública Municipal  No. 7443 ""La Venta del Astillero""",Hidalgo esq. Emiliano Zapata (horario de Lun a Vier de 9:00 a 20:00 hrs),3151 1132
395,Venustiano Carranza,1B,-Inexistente-,,
396,"Vicente Guerrero (ampliación Vicente Guerrero, Rincón)",3,-Inexistente-,,
398,Víctor Hugo,1B,-Inexistente-,,
399,"Vigía, El",1B,-Inexistente-,,
400,Vigusa (La Vidriera),5B,-Inexistente-,,
401,Villa Coral,1A,-Inexistente-,,
402,Villa de los Belenes,1B,-Inexistente-,,
403,Villa Magna,1A,-Inexistente-,,
404,Villa Puerta del Sol,6,-Inexistente-,,
405,Villa Universitaria,5B,-Inexistente-,,
406,"Villa, La",1A,-Inexistente-,,
407,Villas Alcalde,1B,-Inexistente-,,
408,Villas de Guadalupe,2B,-Inexistente-,,
409,Villas del Marquez (Villas del Parque),2A,-Inexistente-,,
411,Villas La Loma,3,-Inexistente-,,
412,Villas de San Javier,7,-Inexistente-,,
413,Villas de Zapopan (ó Valle de San Isidro),3,-Inexistente-,,
414,Villas de Tepeyac,6,-Inexistente-,,
415,Villas San Jorge,1B,-Inexistente-,,
416,Villas Vallarta,5A,-Inexistente-,,
417,Virreyes Residencial,5B,-Inexistente-,,
418,Vista Hermosa,2B,-Inexistente-,,
419,Vista del Sol,8,-Inexistente-,,
420,Volcán del Colli,5A,-Inexistente-,,
421,"Zapote, El   ",6,-Inexistente-,,
422,Zoquipan,1B,-Inexistente-,,
423,Hospital San Juan de Dios,1B,-Inexistente-,,
425,"Vinatería, La",,Inexistente,,
426,"Noria, La",,- Inexistente -,,
427,Quinta Federalismo,,- Inexistente -,,
428,"Tempisque, El",,- Inexistente -,,
429,Mesón de Copala,,- Inexistente -,,
430,Villas de Nuevo México,,- Inexistente -,,
431,"Soledad de Ixcatán, La",,- Inexistente -,,
432,Jardines de San Gonzalo,,- Inexistente -,,
433,Misión Capistrano,,- Inexistente -,,
434,Fuentecillas,,- Inexistente -,,
435,"Golondrinas, Las",,- Inexistente -,,
438,Campestre Lomas de Tesistán,,- Inexistente -,,
439,"Joyitas, Las",,Inexistente,,
440,Vistas de Tesistán,,Inexistente,,
441,Praderas de Tesistán,,Inexistente,,
442,Hacienda Las Palomas,,Inexistente,,
443,Ampliación Santa Lucía,RS,- Inexistente -,,
445,Loma Chica,,Inexistente,,
446,Revolución,RS,-Inexistente-,,
447,"Mirasoles, Los",,-Inexistente-,,
448,"Providencia, La",,-Inexistente-,,
449,Villas de Santa Lucía,RS,- Inexistente -,,
450,"Cerrito, El (de Nextipac)",RS,- Inexistente -,,
451,Cerca Morada,RS,- Inexistente -,,
452,Misión La Floresta,,- Inexistente -,,
453,Rinconada del Parque,,- Inexistente -,,
454,Colinas del Río,3,- Inexistente -,,
455,Villa Hermosa,RS,- Inexistente -,,
456,"Ángeles de Nextipac, Los",RS,- Inexistente -,,
457,San Rafael (poblado),RN,- Inexistente -,,
458,"Cohetero, El (poblado)",,- Inexistente -,,
459,"Quemado, El (poblado)",RN,- Inexistente -,,
460,Villas del Valle,3,- Inexistente -,,
461,Campo Real,3,- Inexistente -,,
462,Bosque Valdepeñas,3,- Inexistente -,,
463,Hacienda del Sol,3,- Inexistente -,,
464,Valdepeñas II,3,- Inexistente -,,
465,Punta Valdepeñas,3,- Inexistente -,,
466,Real Valdepeñas,3,- Inexistente -,,
467,Real de Tesistán,,- Inexistente -,,
468,Altus Quintas,0,- Inexistente -,,
469,Colonos de Tesistán,,- Inexistente -,,
470,Real Casablanca,,- Inexistente -,,
471,Jardines de las Fuentes,45200,- Inexistente -,,
472,Molinos,,- Inexistente -,,
473,Extramuro,,- Inexistente -,,
474,Parques Tepeyac,0,Inexistente,,
475,Quinta del bosque,,Inexistente,,
476,Crucero de Ameca,Zona Rural,Inexistente,,
477,Miramar Poniente,,Inexistente,,
478,"Fortín II, El",7,Inexistente,,
479,Villas del Ixtépete,8,Inexistente,,
480,Nuevo México Sur,4,Inexistente,,
481,Anexo a Jardines del Vergel,2A,Inexistente,,
482,Lomas Campestres Las Mesitas,RS,Inexistente,,
483,Mirador de San Isidro Magisterial,3,Inexistente,,
484,Residencial del Parque Metropolitano,5A,Inexistente,,
485,Lomas del Pedregal,RN,Inexistente,,
486,Ampliación Villas de Guadalupe,2B,Inexistente,,
487,Granjas y Huertos San José,,Inexistente,,
488,Villas de Monticello,,Inexistente,,
489,"Pedregal (de Milpillas), El",,inexistente,,
490,"Taray, El",,Inexistente,,
491,Cabañas de la Barranca,,Inexistente,,
492,Kilómetro 10 (carr. a Colotlán),,Inexistente,,
493,Prados de Nextipac,,Inexistente,,
494,"Soledad de afuera, La",,Inexistente,,
495,Canteras del Centinela,,Inexistente,,
496,Parques del Centinela Residencial,,Inexistente,,
497,San Isidro Residencial,,Inexistente,,
498,Quintas del Valle,,Inexistente,,
499,Misión del Valle,,Inexistente,,
500,"Mandarinos, Los",,Inexistente,,
501,Viveros del Valle,,Inexistente,,
502,Rinconadas del Aire,,Inexistente,,
503,Flores del Valle,,Inexistente,,
504,Villas Muro Vekio,,Inexistente,,
505,Puerta la Plata,,Inexistente,,
506,Jardines de los Pinos,,Inexistente,,
507,Portales de Santa Ana,,Inexistente,,
508,Villas Perisur,,Inexistente,,
509,Villa Bonita,,Inexistente,,
510,Jardines del Álamo,RS,Inexistente,,
511,San Gerónimo,RS,Inexistente,,
512,Villas del Centinela,,Inexistente,,
513,Unidad Habitacional Los Belenes,,Inexistente,,
514,Senderos del Centinela,,Inexistente,,
515,Rinconada de los Sauces,,Inexistente,,
516,Valle de los Sauces (ó Rinconada San Isidro),,- Inexistente -,,
517,Haciendas la Herradura,,Inexistente,,
518,Valle de Nuevo México,3,Inexistente,,
519,Bosque de los Encinos,3,Inexistente,,
520,Bosques de San Gonzalo,3,Inexistente,,
521,Porta Real,,Inexistente,,
