Infraestructura Deportiva,,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Espacio Deportivo,Administrado por,Domicilio,Tipo,Descripción Tipo,Clase,Descripción Clase
146,"Gloria, La",5A,Unidad deportiva,Colonos,Av. Las Torres y Vicente Álvarez,1,Unidad Deportiva,1,Público
146,"Gloria, La",5A,Campos de fútbol Anahuac,Sector Privado,Av. Cadena de las Américas,2,Cancha Individual,2,Privado
147,González Ortega,1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
148,"Grana, La",3,Deportivo Cucebrios,IP,La Grana y Av. del Rastro,3,Club Deportivo,2,Privado
149,Guadalajarita (ó Club Atlas),1A,Inexistente,,,99,NINGUNO,99,NINGUNO
150,Guadalupe Jardín,5A,- Inexistente -,,,99,NINGUNO,99,NINGUNO
151,"Guayabos, Comunidad Ecológica, Los",2A,Cancha de basquet y fútbol rápido,Colonos,Interior de la colonia,2,Cancha Individual,2,Privado
152,Gusa,1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
153,Haciendas de las Lomas,5B,- Inexistente -,,,99,NINGUNO,99,NINGUNO
154,Hacienda de Tepeyac I,6,Cancha Multiusos,Colonos,Capa,2,Cancha Individual,1,Público
155,Hacienda de Tepeyac II,6,Cancha de Baloncesto,Colonos,Tchaikovski y Matador,2,Cancha Individual,1,Público
159,"Haciendita, La",8,- Inexistente -,,,99,NINGUNO,99,NINGUNO
160,Heroes Nacionales,4,"Unidad deportiva ""Héroes Nacionales""",Comude,"Anacleto González Flores No. 98, esq. Félix Zuloaga",1,Unidad Deportiva,1,Público
160,Heroes Nacionales,4,Cancha de futbol,,Anacleto González Flores y Francisco Márquez,2,Cancha Individual,1,Público
161,"Higuera, La",2B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
162,Hogares de Atemajac,2A,Cancha,Vecinos,Cantera Rosa frente al Nº 4030 entre Plan de Guadalupe y Cantera Gris,2,Cancha Individual,1,Público
163,Hogares,2B,,,,,Desconocido,,Desconocido
164,Hogares de Nuevo México,3,"Unidad Deportiva (Campo de beisbol, basquet y juegos infantiles)",,Av. Guadalajara frente al 2126 esq. 10 de Mayo,1,Unidad Deportiva,1,Público
164,Hogares de Nuevo México,3,"Módulo Deportivo, ""San Juan de los Lagos""",Consejo,"Ixatlahuacan frente al 2664, esq. 16 de Septiembre y 18 Septiembre",1,Unidad Deportiva,1,Público
165,Hogares del Batán,1B,Cancha deportiva,,Priv. Morelos,2,Cancha Individual,1,Público
167,Huaxtla,RN,Cancha de basquetbol,,San Felipe,2,Cancha Individual,1,Público
167,Huaxtla,RN,Cancha de fútbol,,Conocido,2,Cancha Individual,1,Público
167,Huaxtla,RN,Cancha de voleibol,,San Felipe,2,Cancha Individual,1,Público
168,"Huerta, La",1B,Cancha de Básquet bol,,"Av. Constituyentes, sobre el camellon",2,Cancha Individual,1,Público
169,"Húmedo de Nextipac, El",RS,Cancha,Comude,Río Congo entre Río Verde y Río Yangtse.,1,Unidad Deportiva,1,Público
169,"Húmedo de Nextipac, El",RS,Cancha de fútbol,,Salto del Agua y Nextipac,2,Cancha Individual,1,Público
170,Indígena de Mezquitán ,2B,Cancha de fútbol,,Calle 22 de Junio,2,Cancha Individual,1,Público
171,Indígena de San Juan Ocotán,4,- Inexistente -,,,99,NINGUNO,99,NINGUNO
175,Ixcatán Poblado,RN,Cancha de futbol,Comunidad,"Calle Juárez, a espaldas de la primaria",2,Cancha Individual,1,Público
