DECOMISOS,,,,,,,,,,,
VEGETAL VERDE (GRS.),,,,,,,,,,,
,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,530.00,195.00,574.50,399.00,302.00,355.50,,,,,
,,,,,,,,,,,
2006,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,552.50,621.00,686.00,626.50,646.00,336.80,,"6,975.30",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,340.50,1135.50,288.50,342.00,474.00,926.00,,,,,
,,,,,TOTAL    2004-2006,,,"17,527.80",,,
,,,,,,,,,,,
2007,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,224.50,162.00,286.00,124.50,167.00,94.50,,"29,454.00",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,154.50,369.50,27353.50,104.50,274.50,139.00,,,,,
,,,,,,,,,,,
2008,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,172.00,127.00,182.00,204.00,61.00,67.00,,"2,802.50",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,21.00,7.00,118.00,158.00,61.50,1624.00,,,,,
,,,,,,,,,,,
2009,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,52.00,37.50,113.50,159.00,134.50,196.00,,"1,731.25",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,350.50,108.00,164.75,191.50,174.00,50.00,,,1681.25,,
,,,,,,,,,,,
,,,,,,,,,FALSE,,
ARMAS DE FUEGO,,,,,,,,,,,
,,,,,,,,,,,
2001,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,19,18,19,18,22,13,,206,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,16,18,11,12,16,24,,,,,
,,,,,,,,,,,
2002,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,6,10,16,26,23,15,,192,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,20,14,19,15,8,20,,,,,
,,,,,,,,,,,
2003,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,20,28,17,17,25,13,,232,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,15,15,27,16,21,18,,,,,
,,,,,TOTAL 2001-2003,,,630,,,
,,,,,,,,,,,
